"response","var","time","level","predicted.value","standard.error","est.status"
"glucose","Breed",138.0000000002,"T",142.879731762245,4.05972011054145,"Estimable"
"glucose","Breed",138.0000000002,"WP ",128.320380522354,3.33791929241526,"Estimable"
"glucose","Breed",147.0000000003,"A",104.114115257354,2.2605653050569,"Estimable"
"glucose","Breed",147.0000000003,"M",117.999075297397,2.61308818170935,"Estimable"
"glucose","Breed",147.0000000003,"QH",104.323797589677,2.17970743990649,"Estimable"
"glucose","Breed",147.0000000003,"T",141.636597034902,4.21006435373242,"Estimable"
"glucose","Breed",147.0000000003,"WP ",123.303320586733,3.4566325993036,"Estimable"
"glucose","Breed",150,"A",102.561490695698,2.30378345477581,"Estimable"
"glucose","Breed",150,"M",116.158619962032,2.68357271116311,"Estimable"
"glucose","Breed",150,"QH",103.73631858787,2.22185578953216,"Estimable"
"glucose","Breed",150,"T",141.098534348414,4.29006719521326,"Estimable"
"glucose","Breed",150,"WP ",121.423770582771,3.52028711819043,"Estimable"
"glucose","Breed",159.0000000001,"A",97.4312082438124,2.49144838907469,"Estimable"
"glucose","Breed",159.0000000001,"M",110.036086919491,2.95778427198097,"Estimable"
"glucose","Breed",159.0000000001,"QH",101.727064702579,2.40414243616246,"Estimable"
"glucose","Breed",159.0000000001,"T",139.113292956474,4.63686466303176,"Estimable"
"glucose","Breed",159.0000000001,"WP ",115.163530493365,3.79760404540194,"Estimable"
"glucose","Breed",168.0000000002,"A",91.5923126423101,2.77444785015631,"Estimable"
"glucose","Breed",168.0000000002,"M",103.011803323172,3.33093402220705,"Estimable"
"glucose","Breed",168.0000000002,"QH",99.3475854977706,2.67807769460492,"Estimable"
"glucose","Breed",168.0000000002,"T",136.571471566071,5.15933738571581,"Estimable"
"glucose","Breed",168.0000000002,"WP ",107.970905288595,4.21747680334039,"Estimable"
"glucose","Breed",177.0000000003,"A",85.0448038911907,3.15624485003255,"Estimable"
"glucose","Breed",177.0000000003,"M",95.0857691730751,3.803778559171,"Estimable"
"glucose","Breed",177.0000000003,"QH",96.5978809734437,3.04690402363583,"Estimable"
"glucose","Breed",177.0000000003,"T",133.473070177204,5.86416244155465,"Estimable"
"glucose","Breed",177.0000000003,"WP ",99.8458949684608,4.78588439968022,"Estimable"
"glucose","Breed",180,"A",82.7048313856114,3.30510154517743,"Estimable"
"glucose","Breed",180,"M",92.2433687780801,3.98304440829205,"Estimable"
"glucose","Breed",180,"QH",95.5990405055549,3.19057886938432,"Estimable"
"glucose","Breed",180,"T",132.316585270277,6.13900563052397,"Estimable"
"glucose","Breed",180,"WP ",96.9303615031091,5.0079264117846,"Estimable"
"glucose","Adiponectin",0,"10.1860731707317",84.923653494716,2.10049919241258,"Estimable"
"glucose","Adiponectin",0,"16.423907550144",88.3358980423593,3.03602092238397,"Estimable"
"glucose","Adiponectin",9.0000000001,"10.1860731707317",91.9572716041548,1.82130721228715,"Estimable"
"glucose","Adiponectin",9.0000000001,"16.423907550144",94.4809593491093,2.64628300817293,"Estimable"
"glucose","Adiponectin",15,"10.1860731707317",96.2630266956895,1.66966003482515,"Estimable"
"glucose","Adiponectin",15,"16.423907550144",98.2316205135494,2.43516304250704,"Estimable"
"glucose","Adiponectin",24.0000000001,"10.1860731707317",102.146673861214,1.49458337241658,"Estimable"
"glucose","Adiponectin",24.0000000001,"16.423907550144",103.338542700432,2.19229583236725,"Estimable"
"glucose","Adiponectin",30,"10.1860731707317",105.685781656827,1.41166472241565,"Estimable"
"glucose","Adiponectin",30,"16.423907550144",106.397111118314,2.07782703909714,"Estimable"
"glucose","Adiponectin",39.0000000001,"10.1860731707317",110.419457878436,1.33258448722715,"Estimable"
"glucose","Adiponectin",39.0000000001,"16.423907550144",110.465894185329,1.96939863497479,"Estimable"
"glucose","Adiponectin",48.0000000002,"10.1860731707317",114.46315153369,1.2972350460075,"Estimable"
"glucose","Adiponectin",48.0000000002,"16.423907550144",113.911793780418,1.9217325768506,"Estimable"
"glucose","Adiponectin",57.0000000003,"10.1860731707317",117.816862622587,1.29145955817307,"Estimable"
"glucose","Adiponectin",57.0000000003,"16.423907550144",116.734809903579,1.9147427763719,"Estimable"
"glucose","Adiponectin",60,"10.1860731707317",118.781436859592,1.29373172472612,"Estimable"
"glucose","Adiponectin",60,"16.423907550144",117.537396728564,1.91806276796403,"Estimable"
"glucose","Adiponectin",69.0000000001,"10.1860731707317",121.215171193373,1.3072644509863,"Estimable"
"glucose","Adiponectin",69.0000000001,"16.423907550144",119.529901555846,1.93640674422492,"Estimable"
"glucose","Adiponectin",75,"10.1860731707317",122.454337101221,1.31878539875137,"Estimable"
